Name,z,RA_J2000,Dec _J2000,wd,wserr,p30d,p30serr,ellipd,ellipderr,etad,etaerr,c0.4R500,ec0.4R500,0.4R500_kpc/h71
,,deg ,deg,,,,,,,degrees,degrees,,,kpc/h71
ACCEPT2.0 Name,Redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,Centroid shift in 20 bins inside 0.4R500,Centroid shift error,P3/P0 power law ratio (r<0.4R500),P3/P0 power law ratio,Ellipticity (ratio of minor/major axes) inside 0.4R500,Error on Ellipticity,Position Angle in degrees E of N,Position Angle error,Concentration (flux < 0.15 R500/flux < 0.4 R500),error on concentration,Rmax for the quantities in this table
ABELL_0665,0.182,127.7468,65.8395,0.0937,0.0012,2.42E-07,2.7E-08,0.930,0.002,-41.230,1.027,0.468,0.004,553
2MFGC_06756,0.241,128.7284,55.5722,0.0586,0.0008,3.64E-10,3.0E-09,0.838,0.005,41.970,0.892,0.704,0.006,394
400d_J0838+1948,0.123,129.6288,19.8055,0.0271,0.0059,2.32E-07,2.1E-07,0.946,0.020,71.980,9.011,-,-,326
NSC_J084254+292723,0.194,130.7329,29.4576,0.0272,0.0017,5.48E-09,9.0E-09,0.942,0.014,-11.860,4.420,0.703,0.010,472
ABELL_0697,0.282,130.7399,36.3664,0.0042,0.0046,2.48E-08,2.2E-08,0.858,0.007,-16.160,1.504,0.491,0.008,670
RX_J0848.8+4455,0.543,132.199,44.9378,0.0504,0.0162,3.17E-09,4.5E-07,0.912,0.028,-25.530,9.347,-,-,197
ZwCl_0848.5+3341,0.371,132.9121,33.5188,0.0253,0.0061,4.14E-07,3.2E-07,0.845,0.020,-63.040,3.974,-,-,452
ZwCl_0857.9+2107,0.23,135.1535,20.8944,0.0398,0.0057,6.09E-08,2.7E-08,0.865,0.007,51.330,1.372,0.775,0.007,382
ABELL_0744,0.073,136.8355,16.6517,0.0294,0.0075,8.78E-08,4.9E-08,0.985,0.014,83.920,24.910,0.548,0.030,293
SDSS_+137.3+11.0+0.18,0.18,137.3031,10.9748,0.0103,0.0013,1.68E-09,7.0E-09,0.900,0.007,75.570,2.165,0.552,0.010,423
2MASSi_J0913454+405628,0.442,138.4395,40.9413,0.0739,0.0054,8.74E-09,1.9E-08,0.934,0.009,-74.960,4.365,0.789,0.008,400
ABELL_0773,0.217,139.4711,51.728,0.0292,0.0059,6.39E-09,1.3E-08,0.881,0.005,81.540,1.783,0.498,0.008,526
WHL_J091834.3+295318,0.289,139.6502,29.8919,0.1331,0.2042,1.13E-06,2.0E-06,0.902,0.085,61.760,18.240,-,-,240
NSC_J092017+303027,0.258,140.1118,30.4927,0.1995,0.0119,6.88E-07,2.2E-07,0.930,0.010,-40.040,4.249,0.307,0.013,449
