Name, Z,RA,Dec, MCK0, MCK0_68min, MCK0_68max, MCK100, MCK100_68min, MCK100_68max, MCAlpha, MCAlpha_68min, MCAlpha_68max, MCChiSq, K10kpc_mcmc, K10kpc_mcmc_min, K10kpc_mcmc_max, K20kpc_mcmc, K20kpc_mcmc_min, K20kpc_mcmc_max
,,deg ,deg,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,,,,,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3
,,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,MCMC Median Entropy excess,MCMC Entropy excess min 1 sigma,MCMC Entropy excess max 1 sigma,MCMC Median Entropy at 100 kpc,MCMC Entropy at 100 kpc min 1 sigma,MCMC Entropy entropy at 100 kpc max 1 sigma,MCMC Entropy power law slope,MCMC min entropy power law slope,MCMC max entropy power law slope,MCMC estimated reduced chi square,MCMC Entropy at 10 kpc,MCMC Min Entropy at 10 kpc,MCMC Max Entropy at 10 kpc,MCMC Entropy at 20 kpc,MCMC Min Entropy at 20 kpc,MCMC Max Entropy at 20 kpc
ABELL_S0520,0.295,79.1571,-54.5131,-20.8,-131.2,3.2,83.8,71.4,99.5,0.67,0.41,0.73,1.18,-13.8,-50.7,23,4.7,-24.4,34.6
MCXC_J0520.7-1328,0.34,80.1751,-13.4803,88,62,104.7,166.3,159.2,178.4,1.31,1.12,1.41,0.17,88.2,69,107.8,95.1,78,112.5
ABELL_3343,0.191,81.4534,-47.2528,170.6,100.9,201,234.9,216.8,261.4,1.3,0.81,1.61,0.08,161,120.1,201.7,170.2,135.9,205.9
MCXC_J0528.2-2942,0.158,82.0607,-29.7219,69.2,-26.7,83.2,190.1,182.2,213.2,0.92,0.53,0.95,0.34,67.2,39,96.3,88,66.6,109.1
RBS_0653,0.284,82.2209,-39.4705,35.5,27.4,44.7,187.7,178.5,196.6,1.02,0.94,1.14,0.8,50.5,45.1,55.9,65.3,61,70
PLCKESZ_G286.58-31.25,0.21,82.8695,-75.1768,-63.2,-71.5,-51.3,98.5,92.3,102.8,0.67,0.64,0.74,0.24,-28,-31.3,-24.7,-8.2,-9.5,-6.9
ABELL_0545,0.154,83.1057,-11.5422,212.2,175.9,230.4,279.8,271.7,297,1.15,0.88,1.3,0.71,211.3,188.3,234.5,219.7,199.7,239.4
MCXC_J0532.9-3701,0.275,83.2314,-37.0264,54,17.2,74.4,220,208.5,242.3,0.97,0.8,1.08,0.13,68.5,47.6,88.8,88,72.7,103.4
ESO3060170-A,0.036,85.0278,-40.8366,-7.6,-11.2,-5,161.7,157.6,168.7,0.64,0.59,0.68,4.29,31.4,29.8,33,53.2,50.8,55.7
MCXC_J0547.0-3904,0.21,86.7563,-39.0740,11,7.1,14.6,137.1,125.6,144.6,1.2,1.09,1.3,0.35,19.1,17.1,21.2,29.4,27.3,31.5
ABELL_3364,0.148,86.9065,-31.8712,208.7,177.2,222.5,244.9,230.1,260.6,1.82,1.51,1.91,0.53,201.2,178.6,223.1,203.4,181.8,224.7
ABELL_0548A,0.04,87.1596,-25.4779,6.1,-7.4,17.8,196.9,181.3,208.2,0.87,0.74,1.02,0.34,32.5,27.9,37.3,53.4,48,59.1
ABELL_0550,0.099,88.2159,-21.0536,-72.9,-143,-31.7,198.1,186.6,211,0.63,0.51,0.74,0.62,-11.1,-33.5,10.7,25,11.4,39.3
MACS_J0553.4-3342,0.407,88.3574,-33.7085,188.1,157.8,214.5,291.7,266,306.6,1.22,1.1,1.39,1.39,193.8,165.9,218.4,201.9,175.9,225.1
ABELL_3378,0.141,91.4749,-35.3022,3.4,1.2,5.3,126.2,120.4,131.4,1.05,1,1.1,0.53,14.3,13.1,15.5,26,24.3,27.6
SPT-CL_J0615-5746,0.972,93.9661,-57.7794,78.5,56.8,91,154.5,146,167.2,1.33,1.12,1.46,0.06,79.3,64.3,93.7,85.7,73.8,97.4
CIZA_J0616.3-2156,0.171,94.1033,-21.9383,264.3,49.8,307.4,351.1,334.5,392,1,0.46,1.16,0.58,241.3,170.2,310.9,261.7,205.5,318.8
ABELL_S0579,0.152,94.1339,-39.7968,135.8,87.6,162.2,199.7,189.1,215.8,1.17,0.88,1.42,0.35,133.9,102.4,165,141.4,114.5,168.1
G139.59+24.18,0.27,95.4541,74.7014,-7.8,-14.9,-2.5,153.4,142.4,161.5,0.91,0.83,0.97,0.69,12.1,9.5,14.7,29.6,26.5,32.6
