Name,z,RA,Dec,r500,kT,ekT,zsolar,ezsolar,wt or ap,cstat,DOF,c_red,Fx0.5-7_CE,eFx,Lx0.5-7_E44,eLx0.5-7,Lbol,eLbol,c0.4r500,ec0.4r500
,,deg ,deg,kpc/h71,keV,keV,Z/Zsolar,Z/Zsolar,,,,,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,,
ACCEPT2.0 default name,redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,,Xray temperature core-excised,error on Xray temperature core-excised,Metallicity core-excised,Error on Metallicity core-excised,Ap means temperature and metallicity based on a single core-excised aperture; Wtd means those quantities are based on emission-weighted annular averages of projected temperature or metallicity,Statistic from single spectrum fit,Degrees of freedom in fit,Cstat/DOF,absorbed (observed) X-ray flux 0.5-7.0 keV,absorbed (observed) X-ray flux 0.5-7.0 keV error,bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev rest frame),bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev restframe) error,bolometric luminosity,bolometric luminosity error,concentration based on flux < 0.15 r500/flux <0.4r500,error on c0.4r500
ABELL_3378,0.141,91.4749,-35.3022,992,4.5,0.26,0.4,0.09,Ap,1195,1022,1.2,5.08E-12,2.00E-13,2.76E+00,1.10E-01,3.82E+00,1.60E-01,0.61,0.04
ABELL_3391,0.051,96.5785,-53.6926,1189,5.79,0.22,0.23,0.07,Wtd,3020,1022,3,1.43E-11,3.20E-13,9.18E-01,2.00E-02,1.34E+00,3.50E-02,0.37,0.01
ABELL_3395_SW,0.051,96.6806,-54.5435,1053,4.6,0.26,0.15,0.07,Ap,2725,1022,2.7,8.10E-12,2.60E-13,5.26E-01,1.70E-02,7.35E-01,2.60E-02,0.32,0.02
ABELL_3399,0.203,99.3088,-48.4719,1215,7,0.49,0.29,0.1,Ap,1120,1022,1.1,2.35E-12,5.70E-14,2.81E+00,6.80E-02,4.35E+00,1.70E-01,0.4,0.02
ABELL_3404,0.167,101.37,-54.2284,1437,8.31,0.71,0,0.04,Ap,1186,1022,1.2,7.44E-12,1.80E-13,5.73E+00,1.40E-01,9.43E+00,4.60E-01,0.53,0.03
ABELL_3411,0.169,130.4664,-17.4627,1184,6.16,0.45,0.35,0.09,Wtd,2308,2047,1.1,3.08E-12,6.30E-14,2.45E+00,5.00E-02,3.64E+00,1.20E-01,0.38,0.02
ABELL_3444,0.253,155.9592,-27.2564,1229,7.47,0.43,0.32,0.07,Ap,987,1022,1,3.34E-12,6.50E-14,6.42E+00,1.20E-01,1.01E+01,3.30E-01,0.68,0.02
ABELL_3528B,0.053,193.5924,-29.013,1196,6.28,0.64,0.33,0.16,Ap,2839,1022,2.8,7.42E-12,3.30E-13,5.09E-01,2.30E-02,7.61E-01,4.50E-02,0.54,0.04
ABELL_3532,0.055,194.3418,-30.3634,1098,5,0.35,0.53,0.11,Ap,3925,1022,3.8,1.07E-11,4.00E-13,8.11E-01,3.10E-02,1.14E+00,4.90E-02,0.39,0.03
ABELL_3562,0.049,203.4055,-31.6716,1071,4.83,0.49,0.32,0.12,Wtd,2877,1022,2.8,1.24E-11,2.80E-13,7.10E-01,1.60E-02,9.97E-01,3.70E-02,0.45,0.02
ABELL_3653,0.109,298.2641,-52.0369,1026,4.49,0.28,0.32,0.08,Ap,1224,1022,1.2,1.43E-12,6.70E-14,4.48E-01,2.10E-02,6.20E-01,3.10E-02,0.29,0.02
ABELL_3667,0.056,303.1752,-56.8471,1247,6.54,0.05,0.33,0.01,Ap,11616,4097,2.8,1.61E-11,6.90E-14,1.20E+00,5.20E-03,1.82E+00,9.60E-03,0.51,0
ABELL_3695,0.089,308.6888,-35.812,1235,6.51,0.46,0.14,0.09,Ap,1320,1022,1.3,8.18E-12,1.60E-13,1.63E+00,3.30E-02,2.47E+00,8.40E-02,0.27,0.02
ABELL_3739,0.165,316.0787,-41.3446,1140,5.97,0.58,0.42,0.12,Ap,1119,1022,1.1,3.25E-12,1.50E-13,2.42E+00,1.10E-01,3.56E+00,2.10E-01,0.44,0.04
ABELL_3809,0.062,326.7462,-43.8987,792,2.93,0.13,0.43,0.08,Ap,1278,1022,1.3,3.72E-12,1.60E-13,3.52E-01,1.50E-02,4.66E-01,2.00E-02,0.49,0.05
ABELL_3854,0.149,334.441,-35.7244,1084,5.35,0.47,0.16,0.09,Ap,1168,1022,1.1,3.30E-12,1.40E-13,1.93E+00,8.00E-02,2.78E+00,1.40E-01,0.51,0.03
ABELL_3880,0.058,336.9766,-30.577,797,2.88,0.31,0.32,0.16,Wtd,2127,1022,2.1,3.33E-12,1.90E-13,2.71E-01,1.50E-02,3.61E-01,2.10E-02,0.64,0.05
ABELL_3911,0.097,341.6117,-52.7398,1234,6.52,0.47,0.19,0.09,Ap,1175,1022,1.2,8.03E-12,2.40E-13,1.84E+00,5.50E-02,2.78E+00,1.10E-01,0.29,0.02
ABELL_3921,0.093,342.4861,-64.4302,1176,5.87,0.86,0.35,0.09,Wtd,1735,1022,1.7,7.58E-12,1.50E-13,1.63E+00,3.20E-02,2.39E+00,1.30E-01,0.47,0.02
ABELL_S0295,0.3,41.3616,-53.03,1173,7.03,0.67,0.21,0.08,Ap,1173,1022,1.1,2.95E-12,1.10E-13,8.19E+00,3.10E-01,1.27E+01,7.00E-01,0.36,0.03
ABELL_S0520,0.295,79.1571,-54.5131,1297,8.48,0.9,0.19,0.09,Ap,2346,2047,1.1,2.13E-12,8.40E-14,5.78E+00,2.30E-01,9.56E+00,6.40E-01,0.25,0.02
