Names,Redshift,NH,RA,Dec,XP_RAdeg,XP_Dedeg,Offset,CenterIDFlag,ProfileFlag,OBSIDs
, ,10+22cm^-2,deg ,deg,deg,deg,arcsec, ,,
ACCEPT2.0 Name,NED Redshift,Galactic Hydrogen Column (Stark et al. 1992),ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,ACCEPT2.0 X-ray Peak RA J2000,ACCEPT2.0 X-ray Peak Dec J2000,Difference between peak and aperture center,if peak or centroid centered ,Y means an entropy profile is in Table 5/6,Chandra ObsIDs used in the ACCEPT2.0 analysis
ABELL_1033,0.126,0.0183,157.9363,35.0407,157.9367,35.0396,4.1,peak,Y,   15084   15614
Hydra_Cluster,0.0126,0.0494,159.1782,-27.5269,159.1785,-27.5284,5.2,centroid,Y,    2220
SDSSCGB_08842,0.426,0.0129,159.6786,48.8224,159.6799,48.8218,3.5,peak,N,   11756   12098
_EAD2007__188,0.072,0.031,159.9115,5.1757,159.7787,5.2091,491.2,centroid,N,   15117
ABELL_1068,0.138,0.0122,160.1855,39.9534,160.1855,39.9529,1.9,peak,Y,    1652
NGC_3402_GROUP,0.015,0.0446,162.6086,-12.845,162.6089,-12.8449,0.8,peak,Y,    3243
MCXC_J1053.7+5452,0.07,0.0086,163.3842,54.8754,163.3837,54.8792,13.8,centroid,Y,   15322
BLOX_J1056.9-0337.3,0.823,0.0366,164.2327,-3.6272,164.233,-3.6277,2.2,peak,Y,     512
ABELL_1142,0.035,0.025,165.1936,10.5478,165.192,10.5489,7.1,centroid,N,    6938
MACS_J1105.7-1014,0.466,0.042,166.4435,-10.2438,166.4438,-10.2438,1,peak,N,    5817
MACS_J1108.9+0906,0.449,0.0274,167.2304,9.0989,167.2304,9.0991,1,peak,Y,    3252    5009
NGC_3551,0.032,0.014,167.4352,21.7591,167.4343,21.7594,3.1,peak,Y,    6940
1RXS_J111039.6+284316,0.022,0.0172,167.669,28.7138,167.669,28.7138,0.1,peak,Y,    6937
ABELL_1190,0.075,0.017,167.9159,40.8402,167.9159,40.8402,0,peak,Y,   15106
ABELL_1201,0.169,0.0165,168.2278,13.4339,168.227,13.4358,7.1,centroid,Y,    9616    4216
WARP_J1113.0-2615,0.725,0.0552,168.2717,-26.261,168.2717,-26.261,0,peak,N,     915
ABELL_1204,0.171,0.0138,168.3351,17.5944,168.3351,17.594,1.6,peak,Y,    2205
SDSS_J1115+5319_CLUSTER,0.466,0.0093,168.8116,53.3333,168.8151,53.3343,8.2,centroid,Y,    5008
MACS_J1115.8+0129,0.352,0.0438,168.9661,1.499,168.9669,1.499,2.7,peak,Y,    3275    9375
WARP_J1120.1+4318,0.6,0.0205,170.0296,43.3022,170.0296,43.3022,0,peak,N,    5771
400d_J1120+2326,0.562,0.013,170.2379,23.4419,170.2379,23.443,3.9,peak,N,    1660
HCG_051,0.026,0.0132,170.6098,24.2986,170.6101,24.2976,4.1,peak,Y,    4989    5304
MCXC_J1130.0+3637,0.06,0.014,172.5131,36.637,172.5116,36.6356,6.3,centroid,Y,    6945
ABELL_1285,0.106,0.0408,172.5932,-14.5807,172.5932,-14.5807,0,peak,Y,   15309   15189
ABELL_1300,0.307,0.0444,172.9775,-19.9291,172.9774,-19.929,0.3,peak,Y,    3276   15300
ClG_1137.5+6625,0.782,0.0119,175.0935,66.1376,175.0935,66.1376,0,peak,N,     536
WHL_J114224.8+583205,0.311,0.0145,175.598,58.5203,175.6006,58.5331,46.5,centroid,Y,   15136
ABELL_1361,0.1171,0.0223,175.9151,46.3557,175.9152,46.3557,0.2,peak,Y,    2200
SDSS-C4-DR3_3018,0.051,0.0106,176.8046,55.7291,176.8274,55.74,60.7,centroid,Y,    6943
MACS_J1149.6+2223,0.5444,0.0229,177.3994,22.3986,177.3994,22.3986,0.1,peak,Y,    3589    1656
ABELL_1413,0.143,0.0187,178.8247,23.4057,178.8246,23.4061,1.5,peak,Y,    5003    5002
ABELL_1423,0.213,0.0069,179.3218,33.611,179.3219,33.6104,2.2,peak,Y,   11724     538
GMBCG_J179.81192+49.79669,0.383,0.021,179.8078,49.7943,179.8078,49.7943,0,peak,N,   15119
SDSS-C4-DR3_3144,0.081,0.0122,179.9675,55.5348,179.9679,55.5349,0.8,peak,Y,    4964
PLCKESZ_G292.51+21.98,0.3,0.0773,180.2724,-39.8745,180.2717,-39.8745,2,peak,N,   15134
ABELL_1446,0.103,0.0149,180.5176,58.0332,180.5156,58.0383,18.8,centroid,Y,    4975
400d_J1202+5751,0.677,0.0143,180.5777,57.8659,180.5736,57.8662,7.9,centroid,N,    5757
MKW_04,0.02,0.0188,181.1134,1.8952,181.1134,1.8952,0.1,peak,Y,    3234
MACS_J1206.2-0847,0.44,0.0389,181.5504,-8.8005,181.5512,-8.8007,2.8,peak,Y,    3277
400d_J1206-0744,0.068,0.0337,181.6325,-7.7407,181.6325,-7.741,1,peak,N,    9388
NGC_4104_GROUP,0.028,0.0167,181.6621,28.1742,181.6624,28.175,3.1,peak,Y,    6939
MCXC_J1215.4-3900,0.119,0.0656,183.853,-39.0355,183.8527,-39.0363,3.1,peak,Y,   15140
NSC_J121733+033929,0.077,0.0168,184.4215,3.6555,184.4238,3.6544,9.1,centroid,Y,    4184
NSCS_J121831+401236,0.32,0.02,184.6202,40.2075,184.6199,40.2078,1.4,peak,N,   10447
400d_J1221+4918,0.7,0.0143,185.3669,49.3067,185.3669,49.3067,0,peak,N,    1662
NGC_4325_GROUP,0.025,0.0215,185.7776,10.6213,185.7773,10.6222,3.1,peak,Y,    3232
NSCS_J122648+215157,0.37,0.0187,186.7123,21.8323,186.7123,21.8326,1,peak,Y,   12878
WARP_J1226.9+3332,0.89,0.0137,186.7423,33.5463,186.7432,33.5465,2.8,peak,Y,    5014    3180
MESSIER_049,0.00327,0.0163,187.4452,8.0006,187.4452,8.0006,0,peak,Y,     321   12888   12889
XMMU_J1230.3+1339,0.975,0.0264,187.5711,13.6519,187.5705,13.6516,2.2,peak,N,   11736   12209
ABELL_1553,0.165,0.0202,187.697,10.554,187.697,10.554,0,peak,Y,   12254
MCXC_J1234.2+0947,0.229,0.0183,188.6008,9.7876,188.6014,9.7892,6.2,centroid,Y,   11727
MESSIER_089,0.0011,0.0256,188.9157,12.5567,188.9157,12.5567,0.2,peak,Y,   14358   13985   14359
ABELL_1569,0.073,0.0219,189.1027,16.5398,189.1084,16.5383,20.3,centroid,Y,    6100
ABELL_1576,0.279,0.0168,189.2436,63.1868,189.2428,63.1872,1.7,peak,Y,    7938   15127
NGC_4636,0.0031,0.0182,190.7077,2.6877,190.7077,2.6877,0.2,peak,Y,     323
Centaurus_Cluster,0.0114,0.081,192.2053,-41.311,192.2053,-41.311,0.1,peak,Y,     504    5310    4954    4955
MCXC_J1252.5-3116,0.053,0.0556,193.1446,-31.2666,193.1443,-31.2669,1.4,peak,N,   12275
NGC_4759_GROUP,0.0147,0.0305,193.2739,-9.2043,193.2739,-9.2043,0.2,peak,Y,     921   10462   10874
ABELL_3528B,0.053,0.0617,193.5924,-29.013,193.5927,-29.0111,7,centroid,Y,   10746
NGC_4782-3,0.0154,0.0358,193.6504,-12.5607,193.6504,-12.5607,0.2,peak,Y,    3220
ABELL_1644,0.047,0.0521,194.3015,-17.4092,194.2986,-17.4091,10,centroid,Y,    7922    2206
ABELL_3532,0.055,0.0598,194.3418,-30.3634,194.343,-30.3626,4.9,peak,Y,   10745
NGC_4839,0.0246,0.0092,194.3517,27.4977,194.3516,27.4977,0.3,peak,Y,   12887
ABELL_1650,0.084,0.0156,194.6728,-1.762,194.6729,-1.7623,1.2,peak,N,    6356    5823    4178    7242
ABELL_1651,0.085,0.0188,194.8427,-4.1966,194.8451,-4.1961,8.8,centroid,Y,    4185
WHL_J125933.4+600409,0.33,0.0137,194.8877,60.0706,194.8877,60.0706,0,peak,Y,   15138   13382   16373
NSC_J125947+312215,0.059,0.0119,194.9665,31.352,194.9649,31.3523,5,centroid,N,    9395
ABELL_1664,0.128,0.0874,195.9271,-24.2452,195.9276,-24.2449,2.1,peak,Y,    7901    1648
ABELL_1668,0.063,0.0217,195.9442,19.2703,195.9445,19.2705,1.4,peak,Y,   12877
NGC4936-offset2,0.0103,0.0597,196.0715,-30.5261,196.0715,-30.5261,0.1,peak,Y,    4998
WHL_J130558.9+263048,0.305,0.01,196.4983,26.5157,196.4995,26.5151,4.4,peak,N,   14015
ABELL_1682,0.234,0.0138,196.708,46.5592,196.708,46.5592,0,peak,N,   11725    3244
MACS_J1311.0-0311,0.494,0.0201,197.7569,-3.1773,197.7569,-3.1776,1.3,peak,Y,    3258    6110    9381
ABELL_1689,0.183,0.0181,197.873,-1.3412,197.8734,-1.3413,1.3,peak,Y,    6930    7289    5004
400d_J1312+3900,0.404,0.0117,198.083,39.0153,198.0816,39.0148,4.4,peak,N,    5781
WHL_J131505.2+514902,0.291,0.0122,198.7682,51.8201,198.77,51.8193,4.9,peak,Y,   15123
NGC_5044,0.009,0.0494,198.8497,-16.3854,198.8498,-16.3855,0.4,peak,Y,    9399
ABELL_1722,0.328,0.0149,200.0351,70.0771,200.0351,70.0771,0,peak,N,    3278
NGC_5098_GROUP,0.037,0.0105,200.061,33.1431,200.061,33.1425,2.2,peak,Y,    6941
NGC_5129,0.023,0.0176,201.0416,13.9755,201.0416,13.9755,0,peak,Y,    7325    6944
ABELL_1736,0.046,0.0533,201.7204,-27.171,201.7061,-27.1634,53.5,centroid,Y,    4186
ABELL_3558,0.048,0.0381,201.9869,-31.4955,201.9869,-31.4955,0,peak,Y,    1646
NGC_5171,0.0229,0.0194,202.354,11.7626,202.354,11.7626,0.1,peak,Y,    3216
SSGC_081,0.05,0.0378,202.449,-31.6069,202.449,-31.6065,1.3,peak,Y,    4165
a1750ss,0.091,0.024,202.5397,-2.0986,202.5424,-2.1044,22.9,centroid,Y,   12914
ABELL_1750C,0.068,0.024,202.7107,-1.8618,202.7093,-1.8629,6.3,centroid,Y,   11879
ABELL_1750N,0.084,0.0237,202.7956,-1.7282,202.7956,-1.7282,0,peak,Y,   11878
2MASX_J13312961+1107566,0.079,0.0194,202.8734,11.1325,202.8737,11.1319,2.2,peak,N,    3213
SC_1329-313,0.048,0.0386,202.8808,-31.8245,202.865,-31.8213,49.6,centroid,Y,    4166
ABELL_3560,0.0489,0.0409,203.1071,-33.136,203.1071,-33.136,0.1,peak,Y,   12883
ABELL_1758,0.279,0.0106,203.2017,50.5424,203.2017,50.5424,0.1,peak,Y,    2213   13997   15540   15538
ABELL_3562,0.049,0.0382,203.4055,-31.6716,203.4075,-31.67,8.4,centroid,Y,    4167
ABELL_1763,0.223,0.009,203.8333,41.0005,203.8248,40.9988,23.7,centroid,Y,    3591
ABELL_1767,0.07,0.0184,204.0343,59.2055,204.0327,59.2044,4.9,peak,Y,   12282
400d_J1340+4017,0.171,0.008,205.1365,40.2942,205.1365,40.2942,0,peak,N,    3223
ABELL_1775,0.072,0.0103,205.4517,26.3709,205.4527,26.3722,5.7,centroid,Y,   12891   13510
ABELL_3571,0.0391,0.0411,206.8685,-32.8646,206.8685,-32.8646,0.1,peak,Y,    4203
LCDCS_0829,0.451,0.049,206.8776,-11.7524,206.8775,-11.7528,1.6,peak,Y,    3592   13999   14407   13516
ABELL_1795,0.0625,0.0117,207.22,26.5899,207.22,26.5899,0.1,peak,Y,     494    6160   10900     493
WHL_J134850.2+491801,0.162,0.0119,207.2526,49.3115,207.253,49.3126,4.1,peak,N,    9396
400d_J1354-0221,0.546,0.0347,208.572,-2.3674,208.572,-2.3674,0,peak,N,    4932    5835
MACS_J1354.6+7715,0.397,0.0283,208.6858,77.2551,208.6858,77.2551,0,peak,N,   11754
WHL_J135716.8+623249,0.563,0.0192,209.3195,62.5472,209.3183,62.5478,2.8,peak,N,    7267    5763
MACS_J1359.2-1929,0.447,0.0664,209.7926,-19.4903,209.7926,-19.4903,0,peak,Y,    9378
ABELL_1831,0.061,0.0134,209.8156,27.9753,209.8159,27.9756,1.4,peak,Y,   12283
WHL_J135949.5+623047,0.322,0.0193,209.9609,62.518,209.9605,62.5179,0.7,peak,Y,     516
ABELL_1835,0.253,0.0228,210.2581,2.8789,210.2581,2.8787,0.7,peak,Y,     495     496
NGC5419-offset2,0.0138,0.0554,210.9117,-33.9781,210.9117,-33.9781,0.2,peak,Y,    5000
NGC5419-offset1,0.0138,0.0555,210.9119,-33.9783,210.9119,-33.9783,0.1,peak,Y,    4999
ABELL_3581,0.023,0.0426,211.8741,-27.0183,211.8741,-27.0183,0.1,peak,Y,   12884
3C_295,0.464,0.0134,212.835,52.2029,212.8345,52.2029,1.2,peak,N,     578
G113.82+44.35,0.226,0.0208,213.4699,71.3009,213.4699,71.3009,0,peak,N,   15129
A1882a,0.141,0.0323,213.7785,-0.492,213.7848,-0.4931,23,centroid,Y,   12906   12905   12904
WARP_J1415.1+3612,1.03,0.011,213.7954,36.2022,213.7954,36.2022,0,peak,Y,   12256   12255    4163   13119
WHL_J141623.8+444528,0.386,0.0124,214.1161,44.7792,214.1164,44.7801,3.1,peak,Y,     541
LCDCS_0954,0.67,0.065,215.118,-11.5705,215.1197,-11.5707,6,centroid,N,    5824
GMBCG_J215.94948+24.07846,0.543,0.0249,215.9495,24.0785,215.949,24.0779,2.9,peak,Y,    4195
ABELL_1914,0.171,0.0095,216.5132,37.8238,216.5128,37.8244,2.6,peak,Y,    3593
WHL_J142716.1+440730,0.498,0.0139,216.8172,44.1252,216.8172,44.1271,6.9,centroid,Y,    9380    9808
MACS_J1427.6-2521,0.318,0.0609,216.9144,-25.3508,216.9177,-25.3541,16,centroid,Y,    9373    3279
ABELL_1930,0.131,0.0113,218.1582,31.6471,218.1579,31.6479,3.1,peak,Y,   11733
ABELL_1942_AND_CLUMP,0.224,0.0261,219.5915,3.6702,219.5912,3.6703,1.1,peak,Y,    3290
WBL_518,0.027,0.0272,220.1649,3.471,220.1651,3.4705,2,peak,Y,    4942
ABELL_1991,0.059,0.025,223.6314,18.6445,223.6318,18.6449,1.7,peak,Y,    3193
NSCS_J145715+222009,0.258,0.032,224.3129,22.3425,224.3129,22.3424,0.7,peak,Y,    4192
ABELL_S0780,0.236,0.0772,224.8706,-18.1793,224.8701,-18.1787,2.8,peak,Y,    9428
ABELL_2009,0.153,0.0329,225.0816,21.3699,225.0816,21.3699,0,peak,Y,   10438
NSCS_J150117+422152,0.292,0.0152,225.3442,42.3462,225.3434,42.3462,2,peak,N,    7899
WHL_J150407.5-024816,0.215,0.061,226.0311,-2.8045,226.0309,-2.8044,1,peak,Y,    5793    4935
NGC_5846,0.00571,0.0424,226.6217,1.606,226.622,1.6056,1.8,peak,Y,    7923
ABELL_2034,0.113,0.0152,227.556,33.5124,227.5521,33.511,12.7,centroid,N,   12886   12885    2204
ABELL_2029,0.0722,0.0382,227.7337,5.7448,227.7339,5.7446,1.2,peak,Y,     891    4977
MCXC_J1514.9-1523,0.223,0.0856,228.7621,-15.3895,228.7607,-15.3892,5,centroid,Y,   15175
ABELL_2052,0.03549,0.03536,229.1813,7.0222,229.1855,7.0214,15.2,centroid,Y,   10879   10479    5807   10478
ABELL_2061,0.078,0.0195,230.2929,30.6115,230.2923,30.6115,2,peak,Y,   10449
MKW_03s,0.045,0.0305,230.466,7.7081,230.4664,7.7089,3.2,peak,Y,     900
ABELL_2063,0.0349,0.0303,230.7717,8.6095,230.7702,8.6056,15,centroid,Y,    5795    6262    6263
ABELL_2069,0.116,0.0198,231.0356,29.8818,231.0474,29.872,51.2,centroid,Y,    4965
MCXC_J1524.2-3154,0.103,0.0845,231.0535,-31.9064,231.0535,-31.9045,6.9,centroid,Y,    9401
WARP_J1524.6+0957,0.516,0.0292,231.1614,9.9604,231.1614,9.9604,0,peak,N,    1664
MACS_J1532.8+3021,0.345,0.0216,233.2242,30.3497,233.2241,30.3496,0.4,peak,Y,   14009
ABELL_2092,0.067,0.0217,233.3068,31.1502,233.3234,31.1379,67.7,centroid,Y,    9384
ABELL_2107,0.041,0.0452,234.9126,21.7827,234.913,21.7827,1.2,peak,Y,    4960
ABELL_2111,0.229,0.0199,234.9244,34.4162,234.9193,34.4245,33.1,centroid,Y,   11726     544
ABELL_2104,0.153,0.0892,235.034,-3.3038,235.0339,-3.3042,1.5,peak,Y,     895
ABELL_2125,0.246,0.0278,235.3106,66.2659,235.309,66.2659,2.3,peak,Y,    2207
ABELL_2124,0.066,0.0166,236.2458,36.1091,236.2464,36.1095,2.1,peak,Y,    3238
ABELL_2146,0.2343,0.028,239.0512,66.3516,239.0512,66.3516,0.1,peak,Y,   10464   13138   13120   12247
ABELL_2142,0.091,0.0416,239.5847,27.231,239.587,27.229,10.5,centroid,Y,    1228    5005    1196
MCXC_J1558.3-1410,0.097,0.1147,239.5913,-14.1658,239.591,-14.1661,1.4,peak,Y,    9402
ABELL_2147,0.035,0.0335,240.5694,15.9768,240.5709,15.9745,9.7,centroid,Y,    3211
ABELL_2151,0.037,0.0343,241.1494,17.7215,241.1495,17.7215,0.4,peak,Y,    4996
AWM_4,0.0318,0.0498,241.2354,23.934,241.2354,23.934,0.1,peak,Y,    9423
SpARCS_J161314+564930,0.871,0.0165,243.3122,56.8253,243.3131,56.825,2.2,peak,N,   11722
ABELL_2163,0.203,0.1202,243.9412,-6.1491,243.9404,-6.1502,4.8,peak,Y,    1653
MACS_J1621.3+3810,0.465,0.0111,245.3537,38.1689,245.3533,38.1691,1.1,peak,Y,    9379    6172   10785    6109
MCXC_J1623.5+2634,0.426,0.0359,245.8973,26.5707,245.8973,26.5707,0,peak,N,     546
ABELL_2187,0.184,0.0097,246.0585,41.24,246.0584,41.2438,13.5,centroid,Y,    9422
ABELL_2204,0.152,0.0568,248.1956,5.5755,248.1955,5.5758,1.2,peak,Y,    7940
ABELL_2218,0.176,0.0315,248.9614,66.2101,248.9618,66.2118,5.9,centroid,Y,    1454    1666
ABELL_2219,0.226,0.0174,250.0829,46.7119,250.0838,46.7119,2.2,peak,Y,   14431   14356     896   14355
400d_J1641+4001,0.464,0.0102,250.4732,40.0292,250.4724,40.0292,2,peak,N,    3575
Hercules_A,0.155,0.0634,252.7842,4.9925,252.784,4.9923,1,peak,Y,    5796    6257
NGC_6269,0.035,0.0489,254.4921,27.8543,254.4921,27.8541,1,peak,Y,    4972
OC02_J1701+6412,0.453,0.0258,255.3482,64.2365,255.3463,64.2379,5.7,centroid,N,     547
ABELL_2244,0.097,0.0207,255.6778,34.0608,255.6774,34.0604,2.1,peak,Y,    4179
ABELL_2256,0.058,0.0407,255.8096,78.649,255.9357,78.6365,100.1,centroid,Y,    2419    1386
ABELL_2249,0.082,0.0257,257.4381,34.4552,257.439,34.4552,3,peak,N,   12284
Ophiuchus_CLUSTER,0.028,0.199,258.1155,-23.3685,258.1156,-23.3685,0.2,peak,Y,    3200
ABELL_2255,0.081,0.0252,258.1725,64.0728,258.1789,64.0697,15.2,centroid,Y,     894
NGC_6338,0.027,0.026,258.8454,57.4112,258.8454,57.4118,2,peak,N,    4194
ABELL_2259,0.164,0.0359,260.0317,27.6705,260.0346,27.6699,9.4,centroid,Y,    3245
SDSS-C4_3072,0.164,0.039,260.0416,26.6251,260.0414,26.6248,1.4,peak,Y,    3224    4361
MACS_J1720.2+3536,0.391,0.0334,260.0701,35.6073,260.0706,35.6066,3,peak,Y,    6107    3280
ABELL_2261,0.224,0.0331,260.6133,32.1328,260.6136,32.1329,0.9,peak,Y,    5007
ABELL_2294,0.169,0.0626,261.0495,85.8863,261.0423,85.8861,2,peak,Y,    3246
MCXC_J1731.6+2251,0.366,0.0618,262.9159,22.8606,262.9159,22.8606,0,peak,N,    3281
Abell_2276,0.141,0.0293,263.7693,64.1017,263.7693,64.1017,0,peak,Y,   10411
ZwCl_1742.1+3306,0.076,0.0367,266.0598,32.9911,266.0605,32.9916,2.6,peak,Y,   11708
NSC_J174715+451155,0.157,0.0296,266.8113,45.1968,266.8094,45.196,5.7,centroid,Y,   15118
MCXC_J1750.2+3504,0.171,0.0313,267.5704,35.0828,267.5691,35.0828,3.9,peak,Y,   12252
NGC_6482,0.0131,0.0775,267.9531,23.0719,267.9531,23.0719,0.2,peak,Y,    3218
CIZA_J1804.4+1002,0.152,0.0931,271.131,10.0571,271.1307,10.0568,1.4,peak,Y,   15098
ABELL_2302,0.179,0.0392,274.9918,57.1561,274.9917,57.1561,0,peak,Y,   15131   16579
_HB89__1821+643,0.297,0.0403,275.4876,64.3438,275.4876,64.3438,0.1,peak,Y,    9848    9846    9845    9398
MACS_J1824.3+4309,0.487,0.0447,276.0792,43.1635,276.0788,43.1638,1.4,peak,N,    3255
MACS_J1829.0+6913,0.203,0.0597,277.2735,69.2353,277.2758,69.2356,3.1,peak,Y,   10412   10931
MCXC_J1852.1+5711,0.109,0.0516,283.0358,57.1949,283.0367,57.1952,2.1,peak,Y,    5749
MCXC_J1853.9+6822,0.093,0.0536,283.5094,68.3827,283.5094,68.3827,0,peak,Y,   15121
PLCKESZ_G337.09-25.97,0.264,0.055,288.6564,-59.4722,288.6564,-59.4722,0,peak,Y,   15135
ABELL_2319,0.056,0.0845,290.2945,43.9516,290.2902,43.956,19.4,centroid,Y,    3231
MACS_J1931.8-2635,0.352,0.0903,292.9569,-26.5759,292.9569,-26.5761,0.9,peak,Y,    9382
ABELL_S0821,0.237,0.0492,293.7197,-50.8761,293.7197,-50.8761,0,peak,N,   15120
CIZA_J1938.3+5409,0.26,0.1111,294.5768,54.1597,294.5768,54.1597,0,peak,Y,   15104
MCXC_J1947.3-7623,0.217,0.0717,296.8121,-76.3958,296.8121,-76.3958,0,peak,Y,   15102
ABELL_3653,0.109,0.0487,298.2641,-52.0369,298.2623,-52.0358,5.6,centroid,Y,   10460
MCXC_J1958.2-3011,0.117,0.0852,299.5624,-30.1866,299.5623,-30.1864,1,peak,N,   13136
MCXC_J2003.5-2323,0.317,0.086,300.8713,-23.3734,300.8624,-23.3827,44.6,centroid,Y,    7916
NGC_6868,0.0095,0.0496,302.4754,-48.3799,302.4754,-48.3799,0,peak,Y,   11753    3191
MCXC_J2011.3-5725,0.279,0.0413,302.8622,-57.4199,302.8617,-57.4196,1.4,peak,Y,    4995
ABELL_3667,0.056,0.0482,303.1752,-56.8471,303.1718,-56.8433,15.5,centroid,N,    5753    5752    5751     513
MCXC_J2014.8-2430,0.161,0.077,303.7153,-24.5062,303.7156,-24.5089,9.9,centroid,Y,   11757
SPT-CL_J2023-5535,0.232,0.0515,305.8389,-55.5967,305.8389,-55.5967,0,peak,Y,   15108
MCXC_J2031.8-4037,0.342,0.0394,307.9602,-40.6252,307.9699,-40.6231,27.7,centroid,N,   13517
SPT-CLJ2034-5936,0.92,0.0583,308.5382,-59.6052,308.5382,-59.6052,0,peak,N,   12182
ABELL_3695,0.089,0.037,308.6888,-35.812,308.6884,-35.8112,3.1,peak,Y,   12274
SPT-CLJ2043-5035,0.723,0.0297,310.8231,-50.5923,310.8231,-50.5923,0,peak,Y,   13478
MACS_J2046.0-3430,0.423,0.0465,311.5021,-34.5048,311.5018,-34.5061,5,centroid,Y,    9377    5816
MCXC_J2049.9-3216,0.325,0.0558,312.484,-32.2803,312.4844,-32.2812,3.4,peak,Y,    3283
G345.40-39.34,0.0472,0.037,312.9872,-52.6296,312.9872,-52.6296,0,peak,N,   15583
ABELL_3739,0.165,0.036,316.0787,-41.3446,316.0798,-41.3449,3.1,peak,Y,   15130
SPT-CLJ2106-5844,1.132,0.049,316.5214,-58.7419,316.5214,-58.7419,0,peak,N,   12189   12180
IC_1365,0.049,0.0665,318.4822,2.5652,318.4828,2.5638,5.3,centroid,Y,   10747
ABELL_2345,0.1765,0.0488,321.7897,-12.1748,321.7897,-12.1748,0.2,peak,Y,   15103
MACS_J2129-0741,0.589,0.0475,322.3607,-7.6908,322.3607,-7.6908,0,peak,N,    3595    3199
MCXC_J2129.6+0005,0.235,0.0414,322.4218,0.1039,322.4164,0.0886,58.5,centroid,Y,    9370     552
MACS_J2135-0102,0.325,0.0429,323.7959,-1.0484,323.7968,-1.0487,3.1,peak,N,   11710
SPT-CLJ2135-5726,0.427,0.0364,323.9094,-57.441,323.9094,-57.4407,1,peak,N,   13463
WBL_671,0.051,0.0441,324.2849,0.4464,324.2863,0.4459,5.3,centroid,N,   11796
MACS_J2140.2-2339,0.313,0.0357,325.0633,-23.6611,325.0632,-23.6613,0.7,peak,Y,    4974     928    5250
SPT-CLJ2145-5644,0.48,0.0304,326.4669,-56.7477,326.4669,-56.7477,0,peak,N,   13398
SPT-CLJ2146-4633,0.933,0.0287,326.6447,-46.5492,326.6447,-46.5492,0,peak,N,   13469
ABELL_3809,0.062,0.0204,326.7462,-43.8987,326.7462,-43.8985,1,peak,Y,   15165
SPT-CLJ2148-6116,0.571,0.0292,327.1843,-61.2784,327.1843,-61.2784,0,peak,N,   13488
ABELL_2384,0.094,0.0303,328.0888,-19.5474,328.0882,-19.5478,2.1,peak,Y,    4202
ABELL_2390,0.228,0.069,328.4032,17.6954,328.4034,17.6957,1.1,peak,Y,    4193
ClG_2153.8+3746,0.292,0.2046,328.9675,38.0068,328.9678,38.0063,2.2,peak,Y,   13218   12879
ABELL_2409,0.148,0.0686,330.2184,20.9687,330.219,20.9685,2.3,peak,Y,    3247
ABELL_3827,0.098,0.023,330.4713,-59.9456,330.4717,-59.9453,1.4,peak,Y,    7920
ABELL_2415,0.058,0.0479,331.4105,-5.5925,331.4108,-5.5916,3.1,peak,Y,   12272
3C_444,0.153,0.0251,333.6066,-17.0267,333.6124,-17.0256,20.1,centroid,Y,   15091
ABELL_2426,0.098,0.0401,333.6347,-10.3705,333.6347,-10.3705,0,peak,Y,   12279
MACS_J2214-1359,0.483,0.0321,333.739,-14.0038,333.7395,-14.0026,4.5,peak,Y,    3259    5011
ABELL_3854,0.149,0.0112,334.441,-35.7244,334.4406,-35.7241,1.4,peak,Y,   15116
MCXC_J2218.6-3853,0.138,0.0139,334.6644,-38.9009,334.6651,-38.9017,3.6,peak,Y,   15101
SPT-CLJ2218-4519,0.65,0.0193,334.7479,-45.3158,334.7479,-45.3158,0,peak,N,   13501
ABELL_2443,0.108,0.0521,336.5259,17.3662,336.527,17.3654,4.9,peak,Y,   12257
ABELL_2445,0.166,0.0552,336.7336,25.8351,336.7321,25.8362,6.3,centroid,Y,   12249
ABELL_3880,0.058,0.0109,336.9766,-30.577,336.9773,-30.5763,3.2,peak,Y,    5798
MCXC_J2228.6+2036,0.412,0.046,337.1424,20.6206,337.1411,20.6218,5.9,centroid,Y,    3285
MACS_J2229.8-2756,0.324,0.0133,337.4385,-27.9267,337.439,-27.9273,2.8,peak,Y,    3286    9374
CGCG_514-050,0.017,0.1193,337.8359,39.3581,337.8355,39.3587,2.2,peak,Y,   11737   13123
SPT-CLJ2232-5959,0.594,0.026,338.1405,-59.998,338.1405,-59.998,0,peak,N,   13502
SPT-CLJ2233-5339,0.48,0.0181,338.3131,-53.6552,338.3131,-53.6552,0,peak,N,   13504
ABELL_2457,0.059,0.0578,338.9221,1.4867,338.9213,1.4862,3.5,peak,Y,   12276
Stephans_Quintet,0.0215,0.0777,338.9996,33.9721,338.9996,33.9722,0.2,peak,Y,    7924
ABELL_2465,0.245,0.04,339.9126,-5.7242,339.9117,-5.7253,4.9,peak,N,   15547   14010
CIZA_J2242.8+5301,0.192,0.3325,340.6647,52.9958,340.6656,52.9958,2,peak,Y,   14020   14019
WHL_J224319.8-093530,0.432,0.0429,340.8379,-9.5935,340.8381,-9.5952,6,centroid,N,    3260
SPT-CLJ2245-6206,0.58,0.013,341.2621,-62.1167,341.2621,-62.1167,0,peak,N,   13499
MACS_J2245.0+2637,0.304,0.0547,341.2692,26.6348,341.2694,26.6343,1.9,peak,Y,    3287
